vlan_id,vlan_name,n_hosts,pct_intra,purity,hosts
1,VLAN_10,3,1.6,0.333,10.1.0.12;10.2.0.10;10.3.0.19
2,VLAN_20,12,31.6,0.417,10.1.0.10;10.1.0.16;10.1.0.17;10.2.0.11;10.2.0.15;10.2.0.16;10.2.0.17;10.2.0.18;10.3.0.10;10.3.0.14;10.3.0.17;10.3.0.20
3,VLAN_30,10,25.0,0.4,10.1.0.11;10.1.0.21;10.2.0.12;10.2.0.14;10.2.0.20;10.2.0.21;10.3.0.11;10.3.0.13;10.3.0.15;10.3.0.21
4,VLAN_40,11,27.7,0.545,10.1.0.13;10.1.0.14;10.1.0.15;10.1.0.18;10.1.0.19;10.1.0.20;10.2.0.13;10.2.0.19;10.3.0.12;10.3.0.16;10.3.0.18
